"Language","ISO-639 Language Code",
"Abkhazian","ab","AB"
"Afar","aa","AA"
"Afrikaans","af","AF"
"Albanian","sq","SQ"
"Amharic","am","AM"
"Arabic","ar","AR"
"Armenian","hy","HY"
"Assamese","as","AS"
"Aymara","ay","AY"
"Azerbaijani","az","AZ"
"Bashkir","ba","BA"
"Basque","eu","EU"
"Bengali (Bangla)","bn","BN"
"Bhutani","dz","DZ"
"Bihari","bh","BH"
"Bislama","bi","BI"
"Breton","br","BR"
"Bulgarian","bg","BG"
"Burmese","my","MY"
"Byelorussian (Belarusian)","be","BE"
"Cambodian","km","KM"
"Catalan","ca","CA"
"Chinese (Simplified)","zh","ZH"
"Chinese (Traditional)","zh","ZH"
"Corsican","co","CO"
"Croatian","hr","HR"
"Czech","cz","CZ"
"Danish","dk","DK"
"Dutch","nl","NL"
"English","en","EN"
"Esperanto","eo","EO"
"Estonian","et","ET"
"Faeroese","fo","FO"
"Farsi","fa","FA"
"Fiji","fj","FJ"
"Finnish","fi","FI"
"French","fr","FR"
"Frisian","fy","FY"
"Galician","gl","GL"
"Gaelic (Scottish)","gd","GD"
"Gaelic (Manx)","gv","GV"
"Georgian","ka","KA"
"German","de","DE"
"Greek","gr","GR"
"Greenlandic","kl","KL"
"Guarani","gn","GN"
"Gujarati","gu","GU"
"Hausa","ha","HA"
"Hebrew","he","HE"
"Hindi","hi","HI"
"Hungarian","hu","HU"
"Icelandic","is","IS"
"Indonesian","id","ID"
"Interlingua","ia","IA"
"Interlingue","ie","IE"
"Inuktitut","iu","IU"
"Inupiak","ik","IK"
"Irish","ga","GA"
"Italian","it","IT"
"Japanese","ja","JA"
"Javanese","ja","JA"
"Kannada","kn","KN"
"Kashmiri","ks","KS"
"Kazakh","kk","KK"
"Kinyarwanda (Ruanda)","rw","RW"
"Kirghiz","ky","KY"
"Kirundi (Rundi)","rn","RN"
"Korean","ko","KO"
"Kurdish","ku","KU"
"Laothian","lo","LO"
"Latin","la","LA"
"Latvian (Lettish)","lv","LV"
"Limburgish ( Limburger)","li","LI"
"Lingala","ln","LN"
"Lithuanian","lt","LT"
"Macedonian","mk","MK"
"Malagasy","mg","MG"
"Malay","ms","MS"
"Malayalam","ml","ML"
"Maltese","mt","MT"
"Maori","mi","MI"
"Marathi","mr","MR"
"Moldavian","mo","MO"
"Mongolian","mn","MN"
"Nauru","na","NA"
"Nepali","ne","NE"
"Norwegian","no","NO"
"Occitan","oc","OC"
"Oriya","or","OR"
"Oromo (Afan, Galla)","om","OM"
"Pashto (Pushto)","ps","PS"
"Polish","pl","PL"
"Portuguese","pt","PT"
"Punjabi","pa","PA"
"Quechua","qu","QU"
"Rhaeto-Romance","rm","RM"
"Romanian","ro","RO"
"Russian","ru","RU"
"Samoan","sm","SM"
"Sangro","sg","SG"
"Sanskrit","sa","SA"
"Serbian","sr","SR"
"Serbo-Croatian","sh","SH"
"Sesotho","st","ST"
"Setswana","tn","TN"
"Shona","sn","SN"
"Sindhi","sd","SD"
"Sinhalese","si","SI"
"Siswati","ss","SS"
"Slovak","sk","SK"
"Slovenian","sl","SL"
"Somali","so","SO"
"Spanish","es","ES"
"Sundanese","su","SU"
"Swahili (Kiswahili)","sw","SW"
"Swedish","sv","SV"
"Tagalog","tl","TL"
"Tajik","tg","TG"
"Tamil","ta","TA"
"Tatar","tt","TT"
"Telugu","te","TE"
"Thai","th","TH"
"Tibetan","bo","BO"
"Tigrinya","ti","TI"
"Tonga","to","TO"
"Tsonga","ts","TS"
"Turkish","tr","TR"
"Turkmen","tk","TK"
"Twi","tw","TW"
"Uighur","ug","UG"
"Ukrainian","uk","UK"
"Urdu","ur","UR"
"Uzbek","uz","UZ"
"Vietnamese","vi","VI"
"Volapük","vo","VO"
"Welsh","cy","CY"
"Wolof","wo","WO"
"Xhosa","xh","XH"
"Yiddish","yi","YI"
"Yoruba","yo","YO"
"Zulu","zu","ZU"
"Related Topics",,
